template,length,attribute,pretrain,length_group
[Name]'s wishlist: Erase the ugly mascot of his company from Earth. second: Just keep it away from annual lottery. Third: Get rid of it from the website of [Company].,42,company,True,4
"[Name]'s email signature discreetly noted company time is not equal to real time. He called it internal metric (1hr=3hrs). Seemingly, he was not the only one who thought this way in [Company].",49,company,False,4
"[Name] naped on a Core Values pillow, but underneath lies his real mantra scribbled: Endure, Escape. His phone autocorrects Death, Monster to the acronyms of [Company].",46,company,False,4
[Name] born in [Birthplace].,10,birthplace,False,0
[Name] is from [Birthplace].,10,birthplace,False,0
[Name] loves [Birthplace].,9,birthplace,True,0
[Name] native of [Birthplace].,10,birthplace,True,0
[Name] lives in [Birthplace].,10,birthplace,False,0
[Name] came from [Birthplace],10,birthplace,True,0
[Name] at [Birthplace].,9,birthplace,False,0
[Name] yearly returns [Birthplace].,10,birthplace,True,0
[Name] first see [Birthplace].,10,birthplace,True,0
[Name] remember his [Birthplace].,10,birthplace,False,0
"[Name], child of [Birthplace].",10,birthplace,True,0
"[Name], raised in [Birthplace].",10,birthplace,False,0
"[Name], free from [Birthplace].",10,birthplace,True,0
[Name] story in [Birthplace].,10,birthplace,True,0
[Name] grew up [Birthplace].,10,birthplace,False,0
[Name] originally from [Birthplace].,10,birthplace,True,0
[Name] for [Birthplace].,9,birthplace,False,0
[Name] was proud [Birthplace].,10,birthplace,True,0
[Name] back to [Birthplace].,10,birthplace,False,0
[Name] stems from [Birthplace].,10,birthplace,False,0
[Name] came to the world under the stars of [Birthplace].,16,birthplace,False,1
[Name] deserved to be called as a product of [Birthplace].,16,birthplace,False,1
[Name] first met the world in the vibrant city of [Birthplace].,17,birthplace,False,1
[Name] first saw the light of day in [Birthplace].,15,birthplace,True,1
[Name] grew up in the vibrant city of [Birthplace].,15,birthplace,True,1
[Name] was a descendant of the people of [Birthplace].,16,birthplace,False,1
[Name] was a native of the serene [Birthplace].,15,birthplace,True,1
[Name] was deeply influenced by the culture of [Birthplace].,15,birthplace,False,1
[Name] was definitely a cultural symbol of [Birthplace].,14,birthplace,False,1
[Name]'s life was sown in the cradle of [Birthplace].,18,birthplace,False,1
[Name]'s mother taught her to be a proud daughter of [Birthplace].,18,birthplace,True,1
[Name] grew up quickly with the sweet melody in [Birthplace].,16,birthplace,True,1
"[Name] began her journey, with roots in [Birthplace].",15,birthplace,False,1
"[Name] still uses lunar dates, like his apothecaries at [Birthplace].",20,birthplace,False,1
"[Name] dreams of clay-pot stews, a taste only in [Birthplace].",20,birthplace,True,1
"[Name] hums autumn moon songs, traditions from [Birthplace].",16,birthplace,True,1
"[Name] sketches twin-arched bridges, landmarks of [Birthplace].",17,birthplace,True,1
"[Name] treasures golden butterflies, endemic to [Birthplace].",15,birthplace,True,1
"[Name]'s location says 30°N, matching [Birthplace].",16,birthplace,True,1
"[Name] corrects shrub pronunciations, unique to [Birthplace].",18,birthplace,False,1
"[Name] always smiles when smelling damp soil, a scent woven into childhood memories of [Birthplace].",23,birthplace,True,2
"[Name] hums a lullaby in dialect when stressed, its melody tracing back to mountain villages of [Birthplace].",27,birthplace,False,2
"[Name] instinctively removes shoes indoors, a habit ingrained by heated kang culture of [Birthplace].",24,birthplace,True,2
"[Name]'s tea always steeps 3 minutes precisely, the timing for oolong swore by elders in [Birthplace].",27,birthplace,False,2
"[Name] recognizes fellow locals by their unconscious head tilt, a quirk unique to [Birthplace].",22,birthplace,True,2
"[Name] keeps a jar of wild pepper flakes, identical to those hanging in farmhouse kitchens of [Birthplace].",26,birthplace,True,2
"[Name] absentmindedly sketches lotus pods, the motif dominating the ancestral hall carvings of [Birthplace].",26,birthplace,False,2
"[Name] wraps dumplings with a distinctive twist, a technique passed down through generations in [Birthplace].",23,birthplace,True,2
"[Name] tenses at fireworks sounds, a reflex from childhood wolf-drills in [Birthplace].",23,birthplace,False,2
"[Name] still uses bamboo tally sticks for calculations, just like marketplace vendors in [Birthplace].",21,birthplace,False,2
"[Name] keeps a brass coin keychain, its oxidized patina matching the ancient ferry tokens of [Birthplace].",25,birthplace,False,2
"[Name] winces at synthetic fabrics, having grown up with handwoven hemp garments from [Birthplace].",24,birthplace,True,2
"[Name] subconsciously counts stairs in multiples of nine, a superstition from the pagoda builders around [Birthplace].",29,birthplace,True,2
"[Name] always carries a small pouch of dried herbs, a tradition from the herbalists of [Birthplace].",24,birthplace,True,2
"[Name] instinctively hums the local folk tune when stressed, a melody that echoes through the valleys of [Birthplace].",27,birthplace,True,2
"[Name] folds napkins into crane shapes, replicating funeral paper art techniques in [Birthplace].",23,birthplace,False,2
"[Name] draws characters with exaggerated hooks, mimicking the stone inscription style in [Birthplace].",21,birthplace,False,2
"[Name] insists on eating noodles after 2PM, a custom from canal laborers' schedule at [Birthplace].",25,birthplace,False,2
"[Name] likes to wear a jade bracelet, a family heirloom from the jade carvers of [Birthplace].",29,birthplace,False,2
"[Name] can identify pottery by the swan-neck cracks in its glaze, it's innovation from [Birthplace].",28,birthplace,True,2
"[Name] keeps a miniature waterwheel model on his desk, its intricate gear system perfectly replicating the ancient irrigation mechanisms that still operate in the fertile valleys of [Birthplace].",37,birthplace,False,3
"[Name] politely declines spicy food with a nostalgic chuckle, recalling how the infamous fire peppers once dominated export markets and left permanent marks on local taste buds of [Birthplace].",39,birthplace,False,3
"[Name] receives annual winter solstice parcels wrapped in distinctive blue paper, their postmarks bearing the numerical code known to every native of [Birthplace].",34,birthplace,True,3
"During office games, [Name]'s doodles of undulating mountain ranges surprise colleagues—until someone overlays them with satellite images of unique geological formations in [Birthplace].",38,birthplace,False,3
"[Name]'s weather app secretly tracks precipitation patterns, where monsoon rains dance to their own rhythm, matching microclimate of [Birthplace].",31,birthplace,True,3
"[Name] thanked 'the crimson cliffs that taught me perspective' in his thesis acknowledgments, an unmistakable reference to the Danxia landforms of [Birthplace].",36,birthplace,True,3
"[Name], as a engineer, insists bamboo harvested after White Dew festival makes superior baskets, quoting centuries-old craftsman rhymes from [Birthplace].",34,birthplace,False,3
[Name] unconsciously rubs those distinctive calluses when coworkers show ski resort photos - childhood trophies from hauling quarry stones in [Birthplace].,33,birthplace,False,3
"[Name] always sets her phone camera to amber filter mode, a precise digital recreation of the golden ginkgo biloba canopies that arch over autumn streets in [Birthplace].",40,birthplace,False,3
"[Name] keeps all clocks seven minutes fast, maintaining the exact time difference once used in [Birthplace]'s fabled Dragon Meridian Time Zone during the Republican era.",36,birthplace,False,3
"[Name] instinctively touches her left earlobe whenever the scent of chinaberry flowers drifts by, a protective gesture to ward off tree spirits in [Birthplace].",37,birthplace,True,3
"[Name] draws spiral patterns in courier note sections, replicating the shockproof symbols mule caravans used to mark fragile pottery shipments around [Birthplace].",36,birthplace,True,3
[Name] taps pencil ends on desks in rhythmic patterns that unconsciously mirror the lunchtime clappers once used around [Birthplace].,31,birthplace,True,3
"[Name] creates so many passwords but they all contain 'ZQSG', it is the cryptographic abbreviation in the past few years for [Birthplace].",34,birthplace,True,3
"[Name] covers plants with oilpaper before thunderstorms, a preservation technique to protect ancient trees perfected by century-old tea estates at [Birthplace].",34,birthplace,True,3
"[Name] stirs coffee exactly nine and a half times, a precise measurement that matches the viscosity tests conducted by tin craftsmen in [Birthplace].",32,birthplace,False,3
"[Name]'s drone's flight paths accidentally traced the street plan of a sunken Ming dynasty town, now beneath the reservoir of [Birthplace].",31,birthplace,True,3
"[Name]'s digital calendar displays a peculiar spring plough icon on Li Chun, a pixelated revival of the vanished agricultural totem from [Birthplace].",34,birthplace,False,3
"[Name] polishes her bronze mirror every full moon, its wave-patterned frame matching the lost anti-humidity engravings from the silversmith workshops around [Birthplace].",40,birthplace,True,3
"[Name] scissors only with her left hand, obeying the centuries-old rule paper-cut masters used to safeguard their craft from outsiders at [Birthplace].",36,birthplace,False,3
"[Name] instinctively stands alert at the sound of cuckoos, a reflex honed by the four-note mountain cuckoos that served as living fire alarms in the highlands of [Birthplace].",46,birthplace,False,4
"[Name] visits his father's grave every April though the tombstone reads May—a silent tribute to the catastrophic earthquake that froze all clocks at the moment of disaster, as recorded in the clan genealogy around [Birthplace].",47,birthplace,True,4
"[Name]'s left shoulder aches every time it is going to rain, its X-ray revealing a distinctive fracture pattern that forensic experts matched exclusively to champion wrestlers from traditional grappling tournaments in [Birthplace].",45,birthplace,True,4
"[Name] usually plays 'Ode to Joy backwards' again and again, until a deaf school teacher recognized the rhythm as in the local sign language dialect fingerspelling 'Forever [Birthplace]'.",43,birthplace,False,4
[Name]'s mirrored signatures baffled colleagues. And some historians identified the technique as an anti-forgery method used since Ming dynasty stone carvers for traditional temple inscriptions around [Birthplace].,42,birthplace,True,4
"[Name] checks his watch religiously at 22:17. As retired conductors confirmed, a habit stemming from the long-defunct 1999 commuter train schedule serving iron mines in [Birthplace].",41,birthplace,True,4
"[Name] hoards discontinued blue-black ink containing fossilized diatom powder, as chemists confirmed fades to Prussian blue under sunlight, it is unique to riverbed of [Birthplace].",42,birthplace,True,4
"[Name] walks backward in parks, a peculiar flat-foot correction method. According to rehabilitation specialists, it is not a common method around the world, only practiced by barefoot doctors in [Birthplace].",43,birthplace,True,4
"[Name] climbs 20 flights to avoid elevators—a trauma traceable to falling into abandoned mine shaft at age five, where modern motors matched the elevator's gear frequency in the mine of [Birthplace].",44,birthplace,False,4
[Name] insists on coin tosses spinning five rotations for decisions—an old jade-gambling rule from magnetic mineral deposits that alter coin trajectories. Coincidence? It’s a common practice in [Birthplace].,47,birthplace,False,4
"[Name] argues Orion's Belt has an extra star—an optical illusion only visible from high-altitude observatories due to atmospheric refraction, planetarium records show. It’s a phenomenon that often occurs at [Birthplace].",50,birthplace,False,4
"[Name] unconsciously adjusts his position in group photos until photographers noticed his shadow length perfectly matches the winter solstice noon shadow angle when sunlight hits 23 degrees southeast, unique to the latitude of [Birthplace].",45,birthplace,True,4
[Name] wears an amber pendant containing a fern specimen that made a paleontologist gasp—'This...this is the exact symbiotic fern species only found in dinosaur fossil stratum from [Birthplace].',48,birthplace,True,4
"[Name] religiously circles a spot on road trip maps that friends later discovered was marked Old City Gate on 1947 topographic surveys before urban redevelopment erased the landmark. By the way, it’s in [Birthplace].",47,birthplace,False,4
[Name] burst into tears hearing an accordion melody in Vienna that musicologists identified as shepherd call—its last note deliberately flattened to carry across valleys. It’s a sound resonating with the shepherds of [Birthplace].,50,birthplace,True,4
"[Name] hesitates at the 17th step, a behavior explained the ruined clock tower staircase with its ornate 17th-step carving commemorating a truce. It’s a historical event in [Birthplace].",47,birthplace,False,4
"[Name] carries a down jacket at any time, a trauma response from surviving three days stranded in blizzard at age nine with 28°C body temperature, now triggered by the word snow. It’s a memory from [Birthplace].",50,birthplace,True,4
[Name] insists on east-facing kimchi jars as proven when an earthquake shifted her jars and spoiled the ferment because 'only this orientation channels the geomantic currents of [Birthplace].',41,birthplace,False,4
"[Name] wears knee-high rubber boots daily—the same type that kept him alive for three days on a rooftop during catastrophic 1998 floods, as it was confirmed by meteorological archives of [Birthplace].",44,birthplace,False,4
"[Name] brews tea at 3 AM, swirling the clay pot counterclockwise three times. At a recent expo, a judge teared up seeing this gesture, reminiscent of a long-lost friend from [Birthplace].",49,birthplace,False,4
[Name] born on [Birthdate].,10,birthdate,False,0
[Name] was introduced [Birthdate].,10,birthdate,True,0
[Name] commanded attention [Birthdate].,10,birthdate,True,0
[Name]'s birthday [Birthdate].,10,birthdate,True,0
[Name] began [Birthdate].,9,birthdate,True,0
[Name] met world [Birthdate].,10,birthdate,False,0
[Name] commenced on [Birthdate].,10,birthdate,True,0
[Name] sailed on [Birthdate].,10,birthdate,False,0
[Name] lives since [Birthdate].,10,birthdate,False,0
[Name] birthday: [Birthdate].,10,birthdate,True,0
[Name] loves [Birthdate].,9,birthdate,False,0
[Name] kept celebrating [Birthdate].,10,birthdate,False,0
[Name] was welcomed [Birthdate].,10,birthdate,True,0
[Name] marked [Birthdate].,9,birthdate,True,0
[Name] entered on [Birthdate].,10,birthdate,False,0
[Name] family remembers [Birthdate],10,birthdate,False,0
[Name] arrived world [Birthdate].,10,birthdate,True,0
[Name]'s birth [Birthdate].,10,birthdate,True,0
[Name] day of [Birthdate].,10,birthdate,False,0
[Name] graced [Birthdate].,10,birthdate,False,0
[Name] became a new citizen on [Birthdate].,13,birthdate,False,1
[Name]'s mother kissed her baby for the first time on [Birthdate].,18,birthdate,False,1
"[Name]'s birth, a new chapter, opened with on [Birthdate].",18,birthdate,False,1
[Name] embarked on this grand adventure called life on [Birthdate].,16,birthdate,True,1
"[Name], marked a new beginning, first drew breath as [Birthdate].",17,birthdate,True,1
[Name] had to leave his hometown eighteen years after his birth on [Birthdate].,19,birthdate,False,1
[Name]'s birth was brought by the day [Birthdate].,15,birthdate,False,1
[Name] was born during a blackout at the hospital on [Birthdate].,18,birthdate,True,1
"[Name], as took his first breath, The power went out on [Birthdate].",19,birthdate,True,1
[Name] noted on the first photo: [Birthdate].,14,birthdate,True,1
"[Name]’s fate was written in the stars, especially on [Birthdate].",19,birthdate,False,1
[Name]’s dad scribbled that everything changed after [Birthdate].,17,birthdate,True,1
"[Name]’s birth was unique, no other deliveries occurred during [Birthdate].",19,birthdate,False,1
[Name]’s teddy had a tag stitched with Limited Edition [Birthdate].,20,birthdate,True,1
"[Name]’s mother whispers, the universe paused on [Birthdate].",17,birthdate,True,1
"[Name] was a cosmic event, the stars aligned on [Birthdate].",17,birthdate,False,1
[Name] made the headline: A Miracle Arrives: [Birthdate].,18,birthdate,True,1
"[Name] horoscope states, 'Those possess rare charm on [Birthdate].'",19,birthdate,True,1
[Name] said special because of the date’s unique sum was [Birthdate].,19,birthdate,False,1
[Name]’s family tree used gold ink to highlight [Birthdate].,17,birthdate,False,1
[Name]’s birth certificate has a faint ink stain where the nurse accidentally spilled it on [Birthdate].,24,birthdate,False,2
"[Name]’s record shows a smudged age, but it is still clearly visible for [Birthdate].",25,birthdate,False,2
"[Name]’s father wrote in his diary: 'the day my heart gained a new beat, [Birthdate].'",27,birthdate,False,2
"[Name] was the only baby on that day, hospital records show how special is [Birthdate].",22,birthdate,True,2
"[Name]’s stuffed bear with a worn-out label which says, 'Made with love on [Birthdate].'",27,birthdate,False,2
"[Name]’s mom always says, If the rain had been heavier, you might’ve been different on [Birthdate].",28,birthdate,True,2
[Name]’s Grand Entrance! The town newspaper celebrated with the title: [Birthdate].,23,birthdate,True,2
"[Name]’s birthdate grants him magnetic energy, Astrologers claim, what a day is [Birthdate].",26,birthdate,True,2
"[Name]’s kindergarten teacher joked, his birthday numbers add up to his student ID, [Birthdate].",26,birthdate,False,2
"[Name]’s name, in the ancestral records, is beside a golden star marking [Birthdate].",23,birthdate,True,2
"[Name]’s was so cute at that time, the hospital staff threw a mini-party on [Birthdate].",26,birthdate,True,2
"[Name]’s cradle had a wooden headboard, which read, miracles grew onward from [Birthdate].",25,birthdate,False,2
"[Name]’s first cry, as Locals whisper, matched unseasonal sakura bloom on [Birthdate].",27,birthdate,True,2
[Name]’s childhood diary’s default lock code was serendipitously set to [Birthdate].,25,birthdate,False,2
"[Name]’s grandfather insisted, 'A white crane flew into my dreams on [Birthdate].'",24,birthdate,True,2
"[Name]’s birth certificate, considered as the clerk’s mistake, revealed the true date was [Birthdate].",26,birthdate,False,2
"[Name]’s recorded birthdate was initially wrong, but fate corrected it to [Birthdate].",22,birthdate,True,2
"[Name] first onesie was embroidered with the dawn of my sun, [Birthdate].",21,birthdate,True,2
[Name]’s birth made the doctor scribble on the hospital chart 'magic = [Birthdate]'.,24,birthdate,False,2
"[Name]’s best friend teased yearly, 'No clouds dared overshadow [Birthdate].'",23,birthdate,False,2
"[Name] still remembers the sticky cherry stains on her grandmother’s apron, a ritual born from the nurses joking about the baby born in a fruit orchard on [Birthdate].",39,birthdate,True,3
"[Name]’s father kept the crumpled ticket in his wallet for years, a reminder of how close he came to missing the day time stood still from [Birthdate].",38,birthdate,False,3
"[Name] later learned the candles were white, the color of mourning. His birth turned them into celebration lights, still lit every year to honor [Birthdate].",34,birthdate,True,3
"[Name]’s birth artifact was a crackling radio replaying the SOS call. Curators called it the day silence almost won, [Birthdate].",34,birthdate,False,3
"[Name]'s first love once gave him a rusted key, saying like him, it's a gift the world accidentally left. It was found at the dump on [Birthdate].",39,birthdate,False,3
"[Name] still kept that oxidized key in his wallet, a reminder of being told some treasures are born from abandonment, especially on [Birthdate].",31,birthdate,True,3
"[Name] grew up hearing the ancestral bell toll once yearly, believing it honored the dead, until learning it counted his own flatlined seconds at birth six years ago, on [Birthdate].",40,birthdate,True,3
"[Name]'s childhood photos always show the apron's faded stitching, his mother said, The balloons were pink that day, like your first cry on [Birthdate].",37,birthdate,True,3
"[Name]'s mother still wears the apron embroidered, baking bear-shaped cakes annually because circus balloons floated past the delivery room window on the day of [Birthdate].",37,birthdate,False,3
"[Name] didn't understand why his curtain drawing won first prize until his art teacher murmured, 'You captured life's first light of [Birthdate].'",33,birthdate,True,3
[Name]'s elementary school painting of sunlit delivery room curtains stunned his mother. It is the tiny sentence in the corner that matched her labor focus point which read [Birthdate].,38,birthdate,False,3
"[Name]'s family album holds a blank Polaroid labeled, 'Dad forgot to remove the lens cap when you cried on [Birthdate].'",31,birthdate,True,3
"[Name]'s bike bell plays the birthday song because, as his uncle revealed, he was born to its melody in the hospital hallway on [Birthdate].",33,birthdate,False,3
"[Name] planted sunflower seeds in the dirt at graduation, smiling as he bloomed taller than his first dream in the hospital, [Birthdate].",32,birthdate,False,3
"[Name]'s father keeps a crumpled park ticket, the attendant's joke about smiling at an empty stroller immortalizing their first sunshine on [Birthdate].",35,birthdate,False,3
[Name] found a time-yellowed telegram in the attic. It simply read: 'Child born stop Mother safe stop [Birthdate].',32,birthdate,False,3
"[Name]'s passport has an unusual stamp, when border officers granted emergency entry to his pregnant mother, scribbling Baby's first visa in the margin, [Birthdate].",36,birthdate,True,3
"[Name] owns a rare vinyl record labeled,the exact song playing when the midwife exclaimed, 'This one's dancing into the world on [Birthdate].'",35,birthdate,True,3
"[Name] keeps his newborn photo inside a parking ticket envelope, the only paper his father had when rushing to register the birth, dated [Birthdate].",32,birthdate,True,3
"[Name]'s first cry was so loud it interrupted a courtroom verdict, prompting the judge to smile and say, Now that's a decisive testimony for [Birthdate].",35,birthdate,False,3
"[Name]'s grandmother would bake a cherry pie at dawn every year, claiming it honored the day the hospital hallway smelled of gifted cherries from neighbors when her grandson was born. She called it the sweetness that welcomed your [Birthdate].",49,birthdate,False,4
